dataset,scale,model,num,rgb_psnr_min,rgb_psnr_avg,rgb_psnr_max,rgb_mse_min,rgb_mse_avg,rgb_mse_max,y_psnr_min,y_psnr_avg,y_psnr_max,y_mse_min,y_mse_avg,y_mse_max,ssim_min,ssim_avg,ssim_max,uqi_min,uqi_avg,uqi_max,entropy_perc_min,entropy_perc_avg,entropy_perc_max,brisque_perc_min,brisque_perc_avg,brisque_perc_max,brisque_perc_y_min,brisque_perc_y_avg,brisque_perc_y_max,hr_entropy_min,hr_entropy_avg,hr_entropy_max,up_entropy_min,up_entropy_avg,up_entropy_max,hr_brisque_min,hr_brisque_avg,hr_brisque_max,up_brisque_min,up_brisque_avg,up_brisque_max,hr_y_brisque_min,hr_y_brisque_avg,hr_y_brisque_max,up_y_brisque_min,up_y_brisque_avg,up_y_brisque_max
Set5,4,SRCNN,5,23.61004893,28.088586882000005,31.44211522,46.65184657,123.80860711800001,283.1884054,23.65866952,28.694768942000003,31.67013349,44.26566696,114.30574059199998,280.0357056,0.765366073,0.8486424143999999,0.90009012,0.957354073,0.9780323642000001,0.991215627,-0.000902049,0.030355768399999993,0.127283825,,,,,,,6.534286017,6.534286017,6.534286017,7.290901242,7.290901242,7.290901242,,,,,,,,,,,,
Set5,4,ScSR,5,21.56175477,27.237007062000004,30.99527233,51.70745087,168.954356096,453.8422089,21.50756788,27.737775777999996,31.16574955,49.71705627,161.748338316,459.5402679,0.757845043,0.8248330006,0.887705381,0.958221775,0.9754753254,0.99000032,-0.001401275,0.0326941506,0.132226482,,,,,,,6.534286017,6.534286017,6.534286017,7.290334815,7.290334815,7.290334815,,,,,,,,,,,,
Set5,4,SelfExSR,5,22.79940224,28.449167558,31.67416955,44.22454834,125.44748429199998,341.3030243,22.77292371,28.931144352,31.82177726,42.7467041,119.40100708799999,343.390274,0.777648833,0.8612125066,0.921238692,0.972195507,0.9821107441999999,0.992924088,-0.001772926,0.029857100799999998,0.129067264,,,,,,,6.534286017,6.534286017,6.534286017,7.257144485,7.257144485,7.257144485,,,,,,,,,,,,
Set5,4,FSRCNN,5,23.87014151,28.426117242000004,31.40006217,47.10577393,113.56563035799999,266.7265269,23.94065276,29.064074405999996,31.61229358,44.85914612,104.02856351399998,262.4309692,0.768284634,0.854795365,0.909222182,0.950164088,0.9754973976000001,0.990599936,0.000327232,0.0330529342,0.138510089,,,,,,,6.534286017,6.534286017,6.534286017,7.276700999,7.276700999,7.276700999,,,,,,,,,,,,
Set5,4,RRDBESRGAN,5,25.66376778,28.438865388,30.6791339,55.61180234,101.29870298399999,176.4832865,25.89178833,29.034770079999998,31.92482077,41.74440586,90.36248716200001,167.4563141,0.690304284,0.8493918525999998,0.924117655,0.95901289,0.9775617338,0.992746596,0.000725369,0.0289761866,0.128522053,,,,,,,6.534286017,6.534286017,6.534286017,7.270896841,7.270896841,7.270896841,,,,,,,,,,,,
Set5,4,RRDBPSNR,5,27.79482932,30.697899560000003,33.34732185,30.08487252,61.414049118,108.0431976,27.88862529,31.296539556,34.3116227,24.09450955,55.158852202000006,105.7347717,0.79523308,0.8990383466,0.952920095,0.975647022,0.987153842,0.995787995,-0.005390277,0.020818372800000002,0.115584844,,,,,,,6.534286017,6.534286017,6.534286017,7.213546348,7.213546348,7.213546348,,,,,,,,,,,,
Set5,4,FSRCNNT1,5,19.47796352,25.453328923999997,28.88756037,84.0087115,262.289955794,733.3039246,19.4472052,25.785891530000004,29.36302526,75.29702806,255.510080358,738.5158844,0.698867023,0.7820161736,0.838227639,0.921478702,0.958744222,0.983981634,-0.000366774,0.0338205884,0.13778541,,,,,,,6.534286017,6.534286017,6.534286017,7.281806492,7.281806492,7.281806492,,,,,,,,,,,,
Set5,4,FSRCNNT2,5,9.083782402,15.3894664304,21.05911127,509.5293835,2849.8061000999996,8029.751785,8.99275361,15.411524779999999,21.28766576,483.4079464,2878.58383128,8199.832855,0.043738794,0.2809668454,0.409998163,0.648627667,0.7670334698000001,0.883815644,-0.056365028,0.013880033400000002,0.140131529,,,,,,,6.534286017,6.534286017,6.534286017,7.129302798,7.129302798,7.129302798,,,,,,,,,,,,
Set14,2,bicubic,14,22.55144406,28.30676565857143,32.40005289,37.41752625,120.32462542071428,361.3565694,23.33833043,28.756905290000002,33.55247771,28.69674176,110.808447155,301.4722333,0.711515175,0.8706312447857142,0.956937621,0.970441001,0.9877394997142855,0.999151807,-0.016170321,0.06850705378571428,0.357154184,-6.613723006,1.2499108345714283,6.165282457,-0.699496775,-0.07984205707142858,0.168628221,5.199123239,5.199123239,5.199123239,5.435596909,5.435596909,5.435596909,-6.66090877,-6.66090877,-6.66090877,30.00594324,30.00594324,30.00594324,99.70771988,99.70771988,99.70771988,46.83192504,46.83192504,46.83192504
Set14,2,glasner,14,22.89043956,29.28660322142857,34.63935733,22.34316169,99.568340935,334.2230556,23.78740713,29.933486840714277,34.87125093,21.18142955,88.77643634642858,271.8564542,0.749253943,0.8903629012857144,0.968373574,0.974194354,0.9883600394285714,0.99943896,-0.029332644,0.06837678871428572,0.359588226,-1.847864956,1.2157297496428574,4.742207916,-0.470377991,-0.07538855878571428,0.077474515,5.199123239,5.199123239,5.199123239,5.46207821,5.46207821,5.46207821,-6.66090877,-6.66090877,-6.66090877,5.647551118,5.647551118,5.647551118,99.70771988,99.70771988,99.70771988,78.36759134,78.36759134,78.36759134
